Tipo de residuo;Comunidades y Ciudades Autónomas;Periodo;Total
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);07 Castilla y León;2016;906336
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);07 Castilla y León;2015;918192
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);07 Castilla y León;2014;916318
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);07 Castilla y León;2013;838782
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);07 Castilla y León;2012;923318
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);07 Castilla y León;2011;973608
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);07 Castilla y León;2010;887984
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);08 Castilla - La Mancha;2021;773922
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);08 Castilla - La Mancha;2020;818154
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);08 Castilla - La Mancha;2019;816939
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);08 Castilla - La Mancha;2018;849572
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);08 Castilla - La Mancha;2017;802570
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);08 Castilla - La Mancha;2016;794580
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);08 Castilla - La Mancha;2015;822222
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);08 Castilla - La Mancha;2014;770997
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);08 Castilla - La Mancha;2013;777284
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);08 Castilla - La Mancha;2012;826883
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);08 Castilla - La Mancha;2011;1010610
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);08 Castilla - La Mancha;2010;968613
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);09 Cataluña;2021;2020834
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);09 Cataluña;2020;2060770
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);09 Cataluña;2019;2201896
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);09 Cataluña;2018;2216496
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);09 Cataluña;2017;2350780
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);09 Cataluña;2016;2276881
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);09 Cataluña;2015;2283180
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);09 Cataluña;2014;2402829
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);09 Cataluña;2013;2495715
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);09 Cataluña;2012;2334367
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);09 Cataluña;2011;2570746
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);09 Cataluña;2010;2441711
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);10 Comunitat Valenciana;2021;1967712
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);10 Comunitat Valenciana;2020;1949731
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);10 Comunitat Valenciana;2019;2040908
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);10 Comunitat Valenciana;2018;2050369
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);10 Comunitat Valenciana;2017;2014008
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);10 Comunitat Valenciana;2016;1855269
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);10 Comunitat Valenciana;2015;1865704
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);10 Comunitat Valenciana;2014;1843503
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);10 Comunitat Valenciana;2013;1798999
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);10 Comunitat Valenciana;2012;1811419
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);10 Comunitat Valenciana;2011;1805042
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);10 Comunitat Valenciana;2010;1869060
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);11 Extremadura;2021;427842
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);11 Extremadura;2020;427468
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);11 Extremadura;2019;405019
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);11 Extremadura;2018;425445
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);11 Extremadura;2017;425308
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);11 Extremadura;2016;398673
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);11 Extremadura;2015;405565
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);11 Extremadura;2014;404418
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);11 Extremadura;2013;391583
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);11 Extremadura;2012;428571
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);11 Extremadura;2011;450878
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);11 Extremadura;2010;491529
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);12 Galicia;2021;926558
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);12 Galicia;2020;924891
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);12 Galicia;2019;971791
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);12 Galicia;2018;940395
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);12 Galicia;2017;938191
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);12 Galicia;2016;933618
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);12 Galicia;2015;925608
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);12 Galicia;2014;923724
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);12 Galicia;2013;906675
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);12 Galicia;2012;930930
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);12 Galicia;2011;983351
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);12 Galicia;2010;1002349
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);13 Comunidad de Madrid;2021;1745906
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);13 Comunidad de Madrid;2020;1745124
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);13 Comunidad de Madrid;2019;1903917
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);13 Comunidad de Madrid;2018;1996857
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);13 Comunidad de Madrid;2017;2159053
